"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Payments","Goods and services","All countries","Dollars","81","millions","6","v61914466","1.2.2.1","94734","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","United States","Dollars","81","millions","6","v61914467","1.2.2.2","63402","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","United Kingdom","Dollars","81","millions","6","v61914468","1.2.2.3","3798","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914469","1.2.2.4","27534","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","Other European Union countries","Dollars","81","millions","6","v61914470","1.2.2.5","5798","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","Japan","Dollars","81","millions","6","v61914471","1.2.2.6","4427","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914472","1.2.2.7","2841","","","","0"
"1981","Canada","2016A000011124","Payments","Goods and services","All other countries","Dollars","81","millions","6","v61914473","1.2.2.8","14467","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","All countries","Dollars","81","millions","6","v61914474","1.2.3.1","80104","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","United States","Dollars","81","millions","6","v61914475","1.2.3.2","55040","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","United Kingdom","Dollars","81","millions","6","v61914476","1.2.3.3","2381","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914477","1.2.3.4","22682","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","Other European Union countries","Dollars","81","millions","6","v61914478","1.2.3.5","4112","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","Japan","Dollars","81","millions","6","v61914479","1.2.3.6","4034","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914480","1.2.3.7","2202","","","","0"
"1981","Canada","2016A000011124","Payments","Goods","All other countries","Dollars","81","millions","6","v61914481","1.2.3.8","12335","","","","0"
"1981","Canada","2016A000011124","Payments","Services","All countries","Dollars","81","millions","6","v61914482","1.2.5.1","14630","","","","0"
"1981","Canada","2016A000011124","Payments","Services","United States","Dollars","81","millions","6","v61914483","1.2.5.2","8362","","","","0"
"1981","Canada","2016A000011124","Payments","Services","United Kingdom","Dollars","81","millions","6","v61914484","1.2.5.3","1417","","","","0"
"1981","Canada","2016A000011124","Payments","Services","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914485","1.2.5.4","4852","","","","0"
"1981","Canada","2016A000011124","Payments","Services","Other European Union countries","Dollars","81","millions","6","v61914486","1.2.5.5","1686","","","","0"
"1981","Canada","2016A000011124","Payments","Services","Japan","Dollars","81","millions","6","v61914487","1.2.5.6","393","","","","0"
"1981","Canada","2016A000011124","Payments","Services","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914488","1.2.5.7","640","","","","0"
"1981","Canada","2016A000011124","Payments","Services","All other countries","Dollars","81","millions","6","v61914489","1.2.5.8","2132","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","All countries","Dollars","81","millions","6","v61914490","1.2.6.1","4068","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","United States","Dollars","81","millions","6","v61914491","1.2.6.2","2868","","","","0"
